epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,45829.2,1.10957,0.43867,0.00276,0.83395,0.80803,0.86217,0.63711,1.06226,0.40766,0.00321,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,47254.9,1.10583,0.43407,0.00277,0.83941,0.80346,0.86277,0.63817,1.06159,0.40721,0.00321,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,48683.1,1.09531,0.42821,0.00272,0.8369,0.80379,0.86334,0.63891,1.06156,0.40625,0.00321,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,50110.4,1.09361,0.42681,0.00272,0.83431,0.80574,0.86333,0.6391,1.0612,0.40677,0.00321,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,51535.9,1.09397,0.42658,0.00272,0.83699,0.80593,0.86427,0.64026,1.06105,0.40849,0.00321,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,52962.3,1.08843,0.42328,0.00271,0.83192,0.80922,0.864,0.63969,1.06094,0.40864,0.00321,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,54386.5,1.08478,0.4221,0.00269,0.83855,0.8076,0.86409,0.64024,1.06114,0.40901,0.00321,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,55809.6,1.08325,0.41726,0.0027,0.83816,0.8073,0.86422,0.6406,1.06082,0.409,0.00321,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,57235.8,1.07633,0.41325,0.00269,0.84061,0.80465,0.86406,0.6405,1.06061,0.41011,0.0032,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,58658.9,1.07226,0.41089,0.00267,0.83752,0.80648,0.86352,0.63979,1.06072,0.40911,0.00321,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,60083,1.06883,0.40531,0.00265,0.839,0.80511,0.86467,0.6405,1.06032,0.40778,0.0032,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,61506.2,1.06866,0.40522,0.00265,0.8429,0.80088,0.86424,0.64076,1.06005,0.40895,0.0032,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,62932.2,1.06292,0.40334,0.00265,0.84587,0.79944,0.86463,0.64113,1.05993,0.40902,0.0032,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,64358,1.06932,0.40529,0.00264,0.84604,0.80137,0.86574,0.64172,1.06,0.40835,0.0032,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,65787.1,1.0526,0.39534,0.0026,0.84615,0.80343,0.86624,0.64205,1.06001,0.40862,0.0032,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,67210.5,1.05016,0.39512,0.0026,0.84587,0.80409,0.86601,0.64216,1.05996,0.409,0.0032,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
