epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,6230.19,1.68998,0.92411,0.00182,0.56823,0.43356,0.45896,0.28341,1.71006,1.18578,0.00277,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,6422.08,1.68467,0.9225,0.00183,0.56011,0.4409,0.45761,0.28136,1.70886,1.17387,0.00274,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,6615.62,1.67618,0.91353,0.00181,0.56908,0.43661,0.4583,0.28087,1.71067,1.17421,0.00276,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,6808.79,1.66734,0.90412,0.00179,0.57193,0.44037,0.46411,0.28422,1.70911,1.16786,0.00275,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,7001.07,1.65545,0.89278,0.0018,0.58069,0.43745,0.46362,0.28426,1.7046,1.16711,0.00274,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,7193.19,1.65473,0.89236,0.00178,0.56844,0.4369,0.45745,0.28232,1.70414,1.19031,0.00275,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,7386.57,1.65473,0.88952,0.00177,0.57351,0.44762,0.46567,0.28544,1.70244,1.17977,0.00273,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,7578.95,1.64787,0.87968,0.00175,0.5735,0.44214,0.46161,0.28289,1.69965,1.18158,0.00273,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,7771.69,1.6419,0.87337,0.00175,0.57722,0.4353,0.46017,0.28115,1.69792,1.18866,0.00273,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,7964.11,1.62788,0.86928,0.00174,0.58184,0.44499,0.4706,0.28689,1.69658,1.175,0.00272,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
