epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,33097.1,1.14316,0.47278,0.00283,0.82042,0.79105,0.84233,0.61135,1.09903,0.43313,0.00334,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,34148.4,1.14058,0.47311,0.00283,0.82385,0.78778,0.84219,0.61142,1.0985,0.43269,0.00333,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,35288.1,1.12841,0.46291,0.00281,0.82088,0.79288,0.84262,0.61171,1.09779,0.43258,0.00333,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,36426.4,1.12871,0.46262,0.0028,0.81997,0.79583,0.84292,0.61214,1.09741,0.43245,0.00333,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,37563,1.12534,0.46203,0.00279,0.82324,0.79306,0.84322,0.6121,1.09724,0.43249,0.00333,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,38697.4,1.11562,0.45477,0.00275,0.81997,0.79704,0.84349,0.61247,1.09697,0.4324,0.00333,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,39833.4,1.10881,0.44914,0.00273,0.82193,0.79509,0.84367,0.61289,1.09667,0.43208,0.00333,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,40971.4,1.10473,0.4457,0.00272,0.8246,0.79456,0.8444,0.61377,1.09677,0.4312,0.00333,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,41945,1.09736,0.43899,0.0027,0.82789,0.78992,0.84381,0.61336,1.09634,0.43163,0.00333,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,42591.5,1.04204,0.37893,0.00303,0.83004,0.7896,0.84389,0.61406,1.09555,0.43239,0.00332,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,43470,1.02924,0.37205,0.00298,0.83063,0.79077,0.84372,0.61421,1.09488,0.43251,0.00332,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
43,44603.4,1.02224,0.36843,0.00295,0.83344,0.78751,0.84413,0.61448,1.09464,0.43317,0.00332,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
44,45732.2,1.01376,0.36144,0.00293,0.82723,0.79272,0.84404,0.61433,1.09447,0.4342,0.00332,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
45,46869.8,1.00476,0.35623,0.00289,0.82266,0.79519,0.84357,0.61415,1.09456,0.43352,0.00332,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
46,48002.9,0.99611,0.3507,0.00287,0.82768,0.79231,0.8428,0.61381,1.0943,0.43456,0.00332,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
47,49136.1,0.98848,0.34449,0.00283,0.82962,0.79095,0.843,0.61421,1.09403,0.43477,0.00332,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
48,50267.6,0.98359,0.34117,0.00281,0.82859,0.79352,0.84284,0.61405,1.09406,0.43516,0.00332,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
49,51386,0.9772,0.3368,0.00279,0.82662,0.79375,0.843,0.61457,1.09385,0.43609,0.00332,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
50,52032.3,0.97064,0.33303,0.00277,0.82713,0.7944,0.84333,0.61495,1.09402,0.43679,0.00332,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
