epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2456.5,1.8749,1.19146,0.00218,0.50421,0.3966,0.40568,0.24204,1.83757,1.28297,0.00303,0.000351734,0.000351734,0.000351734
43,2514.34,1.88387,1.19288,0.00216,0.50362,0.38715,0.40087,0.24002,1.84569,1.28679,0.00305,0.000342899,0.000342899,0.000342899
44,2572.2,1.87113,1.17623,0.00216,0.50315,0.3853,0.40032,0.23788,1.84424,1.28828,0.00305,0.000334063,0.000334063,0.000334063
45,2629.58,1.86767,1.17844,0.00215,0.50183,0.38878,0.40049,0.23788,1.84357,1.28975,0.00305,0.000325227,0.000325227,0.000325227
46,2687.34,1.86507,1.17201,0.00216,0.50943,0.3842,0.40242,0.2396,1.84705,1.27991,0.00304,0.000316391,0.000316391,0.000316391
47,2745.4,1.86155,1.17259,0.00215,0.50026,0.38808,0.39909,0.23769,1.85239,1.28814,0.00306,0.000307555,0.000307555,0.000307555
48,2803.08,1.86492,1.1687,0.00214,0.51039,0.38597,0.40006,0.23761,1.83763,1.28042,0.00303,0.00029872,0.00029872,0.00029872
49,2860.5,1.85783,1.15998,0.00213,0.51376,0.3853,0.40294,0.23988,1.83556,1.28345,0.00302,0.000289884,0.000289884,0.000289884
50,2918.14,1.85144,1.15784,0.00214,0.50354,0.39825,0.40771,0.24298,1.829,1.27567,0.00302,0.000281048,0.000281048,0.000281048
51,2976,1.84788,1.1533,0.00211,0.51152,0.38887,0.40337,0.23894,1.83974,1.28372,0.00303,0.000272212,0.000272212,0.000272212
52,3033.94,1.84456,1.1462,0.00212,0.51257,0.39006,0.40875,0.24412,1.82845,1.28183,0.003,0.000263377,0.000263377,0.000263377
53,3092.11,1.84675,1.14747,0.00212,0.50907,0.39773,0.40879,0.2431,1.83477,1.27548,0.00302,0.000254541,0.000254541,0.000254541
54,3149.71,1.84568,1.14515,0.00211,0.50058,0.39735,0.40827,0.2442,1.83247,1.28211,0.00302,0.000245705,0.000245705,0.000245705
55,3207.98,1.8266,1.13104,0.00211,0.51505,0.39174,0.40586,0.24112,1.83562,1.28446,0.00303,0.000236869,0.000236869,0.000236869
56,3265.72,1.83668,1.13192,0.00209,0.4919,0.39387,0.40263,0.23871,1.83344,1.28556,0.00302,0.000228034,0.000228034,0.000228034
57,3323.43,1.83487,1.13147,0.00209,0.50213,0.39435,0.4056,0.24107,1.83234,1.28406,0.00303,0.000219198,0.000219198,0.000219198
58,3381.35,1.82128,1.1208,0.00209,0.5061,0.39564,0.40517,0.24141,1.82477,1.2792,0.003,0.000210362,0.000210362,0.000210362
59,3438.67,1.8333,1.1254,0.00208,0.50736,0.3951,0.40406,0.23977,1.83337,1.27923,0.00301,0.000201527,0.000201527,0.000201527
60,3497.46,1.82276,1.12078,0.00207,0.5149,0.38747,0.40428,0.23995,1.82807,1.27553,0.003,0.000192691,0.000192691,0.000192691
61,3555.85,1.81727,1.11227,0.00207,0.51193,0.39162,0.40338,0.23949,1.82986,1.28463,0.00301,0.000183855,0.000183855,0.000183855
62,3614.26,1.8205,1.11265,0.00206,0.51051,0.39146,0.40367,0.24005,1.83088,1.2818,0.00301,0.000175019,0.000175019,0.000175019
63,3672.83,1.8099,1.10734,0.00206,0.50274,0.39628,0.40507,0.23969,1.83358,1.28282,0.00301,0.000166183,0.000166183,0.000166183
64,3730.25,1.8121,1.1059,0.00206,0.49705,0.39478,0.4039,0.24023,1.83119,1.2852,0.00301,0.000157348,0.000157348,0.000157348
65,3787.86,1.80989,1.10043,0.00205,0.50685,0.39319,0.40583,0.2423,1.82715,1.2844,0.00301,0.000148512,0.000148512,0.000148512
66,3845.43,1.81092,1.10336,0.00207,0.49126,0.40067,0.40636,0.24119,1.82861,1.28794,0.00301,0.000139676,0.000139676,0.000139676
67,3903.22,1.81206,1.09926,0.00205,0.49837,0.39916,0.40519,0.24107,1.82834,1.28829,0.00301,0.000130841,0.000130841,0.000130841
68,3960.7,1.81095,1.09602,0.00204,0.49343,0.39946,0.4048,0.24076,1.82557,1.28924,0.003,0.000122005,0.000122005,0.000122005
