epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,7486.6,1.06005,0.5286,0.9295,0.81418,0.79038,0.83399,0.60161,1.07089,0.47829,0.94349,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,7706.18,1.05866,0.52647,0.93014,0.8168,0.78823,0.83439,0.6019,1.07036,0.47781,0.94332,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,7925.78,1.05164,0.52037,0.92832,0.81538,0.78966,0.83459,0.60238,1.07013,0.47712,0.9432,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,8145.31,1.05073,0.51891,0.92819,0.81829,0.78825,0.83483,0.60259,1.06988,0.47651,0.94311,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,8365.01,1.049,0.51742,0.92693,0.81811,0.78735,0.83533,0.60307,1.06971,0.47596,0.94301,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,8584.69,1.04329,0.51267,0.92477,0.81719,0.78936,0.83555,0.60366,1.0696,0.47569,0.94297,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,8804.74,1.03886,0.50974,0.92376,0.8178,0.78913,0.83578,0.60415,1.06938,0.47529,0.94288,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,9024.29,1.037,0.50658,0.92295,0.81909,0.78979,0.83622,0.60472,1.06924,0.4749,0.94279,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,9244.01,1.03047,0.50089,0.92164,0.82145,0.7891,0.83655,0.60506,1.06899,0.47441,0.9427,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,9460.09,1.01591,0.46936,0.94031,0.82353,0.78749,0.83696,0.60531,1.06852,0.47399,0.94252,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,9674.94,1.00638,0.46211,0.93697,0.82765,0.78327,0.83704,0.60594,1.06814,0.47353,0.94236,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
43,9890.02,1.00126,0.45843,0.93502,0.82672,0.78466,0.83732,0.60614,1.06773,0.47312,0.94218,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
44,10104.8,0.99693,0.45364,0.93409,0.81958,0.79005,0.83774,0.60659,1.06732,0.47259,0.94206,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
45,10319.9,0.98922,0.44853,0.93116,0.81734,0.79092,0.83807,0.60735,1.06704,0.47222,0.94195,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
46,10535.2,0.98476,0.44383,0.93041,0.81827,0.7905,0.83806,0.60798,1.06682,0.47189,0.94184,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
47,10750.2,0.97957,0.44014,0.92712,0.81831,0.79215,0.83849,0.60786,1.06666,0.47148,0.94177,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
48,10965.6,0.97584,0.43728,0.92638,0.81739,0.79391,0.83881,0.60808,1.06647,0.47113,0.94167,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
49,11180.4,0.96985,0.43185,0.92483,0.8276,0.78694,0.83917,0.60869,1.06643,0.47078,0.94162,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
50,11395.4,0.96488,0.42845,0.92363,0.82628,0.78904,0.83954,0.60897,1.06629,0.47068,0.94154,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
